id,category,image_url,badge_text,badge_bg_color,brand,title,subtitle,price, price_original ,button_type,button_label,button_data_or_url,button_display_text,button_color,order,alt_text
D52O-HCR7104,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/2-04_2884c3b5-6546-4b43-8c20-c0b53ac245e7.jpg?v=1740742941,保固3+2年,#EC3D44,歐姆龍 OMRON,上臂式血壓計 HCR-7104,,優惠價 ❓❓," 2,380 ",postback,詢價最低⬊79折起,data,,#005eb8,8,歐姆龍OMRON 手臂式血壓計
D52O-HCR7800T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52O-HCR7800T-450.jpg?v=1740742808,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式心電血壓計 HCR-7800T ,,優惠價 ❓❓," 8,980 ",postback,詢價最低⬊79折起,data,,#005eb8,10,歐姆龍OMRON 手臂式血壓計
D52O-HEM7143T1,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52O-HEM7143T1-1-450.jpg?v=1737433293,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM-7143T1,,優惠價 ❓❓," 1,780 ",postback,詢價最低⬊79折起,data,,#005eb8,4,歐姆龍OMRON 手臂式血壓計
D52O-HEM7141T1,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52O-HEM7141T1-2-450.jpg?v=1740742586,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM-7141T1 ,,優惠價 ❓❓, -   ,postback,詢價最低⬊79折起,data,,#005eb8,9,歐姆龍OMRON 手臂式血壓計
D52O-HEM7155T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/7155T-1.jpg?v=1737433759,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7155T,,優惠價 ❓❓," 2,780 ",postback,詢價最低⬊79折起,data,,#005eb8,5,歐姆龍OMRON 手臂式血壓計
D52O-HEM7600T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/2018020911181874_1.jpg?v=1656849039,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7600T,,優惠價 ❓❓," 4,580 ",postback,詢價最低⬊79折起,data,,#005eb8,6,歐姆龍OMRON 手臂式血壓計
D52O-HEM7156,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/HEM7156.jpg?v=1717554014,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7156,,優惠價 ❓❓," 1,980 ",postback,詢價最低⬊79折起,data,,#005eb8,1,歐姆龍OMRON 手臂式血壓計
D52O-HEM7157T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/HEM7157T.jpg?v=1717554164,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 HEM7157T,,優惠價 ❓❓," 2,280 ",postback,詢價最低⬊79折起,data,,#005eb8,2,歐姆龍OMRON 手臂式血壓計
D52O-JPN616T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/202012311256578_1.jpg?v=1717553667,保固3年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 JPN616T,,優惠價 ❓❓," 3,580 ",postback,詢價最低⬊79折起,data,,#005eb8,3,歐姆龍OMRON 手臂式血壓計
D52O-JPN710T,omron_arm,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/JPN710T.jpg?v=1717554325,保固3+2年,#EC3D44,歐姆龍 OMRON,手臂式血壓計 JPN710T,,優惠價 ❓❓," 4,580 ",postback,詢價最低⬊79折起,data,,#005eb8,7,歐姆龍OMRON 手臂式血壓計
D52O-HCR1902T2,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/3-1200.jpg?v=1746759579,保固3年,#EC3D44,歐姆龍 OMRON,藍牙隧道式血壓計 HCR-1902T2,,優惠價 ❓❓," 11,250 ",postback,詢價最低⬊79折起,data,,#005eb8,4,歐姆龍OMRON 血壓計(手腕、隧道)
D52O-HBP9030,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52O-HBP9030-DGS.jpg?v=1740742452,保固1年,#EC3D44,歐姆龍 OMRON,隧道式血壓計HBP9030,,優惠價 ❓❓," 72,000 ",postback,詢價最低⬊79折起,data,,#005eb8,5,歐姆龍OMRON 血壓計(手腕、隧道)
D52O-HEM1000,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/Inked3430c2355a8a7cc925f95d775317d470_LI.jpg?v=1656849196,保固3年,#EC3D44,歐姆龍 OMRON,隧道式血壓計HEM1000,,優惠價 ❓❓," 6,980 ",postback,詢價最低⬊79折起,data,,#005eb8,2,歐姆龍OMRON 血壓計(手腕、隧道)
D52O-B1003,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52O-B1003-2-DGS.jpg?v=1699318626,保固3年,#EC3D44,歐姆龍 OMRON,原廠變壓器,,優惠價 ❓❓, 525 ,postback,詢價最低⬊79折起,data,,#005eb8,6,歐姆龍OMRON 血壓計(手腕、隧道)
D52O-HEM6232T,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/e141dcff5e149bf4d5a31ea7e599a770.jpg?v=1656848872,保固3+2年,#EC3D44,歐姆龍 OMRON,手腕式血壓計 HEM6232T,,優惠價 ❓❓," 3,180 ",postback,詢價最低⬊79折起,data,,#005eb8,3,歐姆龍OMRON 血壓計(手腕、隧道)
D52O-HEM6161,omron_other,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/118de98a750242ac110004.jpg?v=1718671087,保固3年,#EC3D44,歐姆龍 OMRON,手腕式血壓計 HEM6161,,優惠價 ❓❓," 1,580 ",postback,詢價最低⬊79折起,data,,#005eb8,1,歐姆龍OMRON 血壓計(手腕、隧道)
D52-DSN20J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52-DSN20J-1440.jpg?v=1754470868,,#EC3D44,NISSEI 日本精密,手臂式血壓計 DS-N20J,,優惠價 ❓❓," 2,780 ",postback,詢價最低⬊79折起,data,,#005eb8,7,NISSEI日本精密 血壓計
D52-WS20J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52-WS20J-DGS.jpg?v=1754463975,,#EC3D44,NISSEI 日本精密,手腕式血壓計 WS-20J,,優惠價 ❓❓," 2,480 ",postback,詢價最低⬊79折起,data,,#005eb8,6,NISSEI日本精密 血壓計
D52-DSG20J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52-DSG20J.jpg?v=1715326152,,#EC3D44,NISSEI 日本精密,手臂式血壓計 DS-G20J,,優惠價 ❓❓," 2,180 ",postback,詢價最低⬊79折起,data,,#005eb8,5,NISSEI日本精密 血壓計
D52-DSB10J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52-DSB10J.jpg?v=1647221991,,#EC3D44,NISSEI 日本精密,電子血壓計 DS-B10J,,優惠價 ❓❓," 1,880 ",postback,詢價最低⬊79折起,data,,#005eb8,2,NISSEI日本精密 血壓計
D52-DSA10J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/D52-DSA10J-DGS.jpg?v=1642749494,,#EC3D44,NISSEI 日本精密,電子血壓計 DS-A10J,,優惠價 ❓❓," 1,680 ",postback,詢價最低⬊79折起,data,,#005eb8,1,NISSEI日本精密 血壓計
D52-DSK1011J-01,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/DSK1011J-01.jpg?v=1639721134,,#EC3D44,NISSEI 日本精密,DSA10J/DSB10J 專用變壓器,,優惠價 ❓❓, 300 ,postback,詢價最低⬊79折起,data,,#005eb8,8,NISSEI日本精密 血壓計
D52-DSG10J-01,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/DSG10J-01.jpg?v=1639721126,,#EC3D44,NISSEI 日本精密,DS-G10J 專用變壓器,,優惠價 ❓❓, 300 ,postback,詢價最低⬊79折起,data,,#005eb8,9,NISSEI日本精密 血壓計
D52-DSN10J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/DS-N10J.jpg?v=1639721129,,#EC3D44,NISSEI 日本精密,電子血壓計 DS-N10J,,優惠價 ❓❓," 2,780 ",postback,詢價最低⬊79折起,data,,#005eb8,4,NISSEI日本精密 血壓計
D52-DSG10J,nissei_bp,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/DS-G10J.jpg?v=1639721124,,#EC3D44,NISSEI 日本精密,電子血壓計 DS-G10J,,優惠價 ❓❓," 2,180 ",postback,詢價最低⬊79折起,data,,#005eb8,3,NISSEI日本精密 血壓計
D52-AC-230CZ-J,,https://cdn.shopify.com/s/files/1/0204/3327/2854/files/D52-AC-230CZ-J.jpg?v=1692942331,,#EC3D44,CITIZEN 星辰,專用AC變壓器,,優惠價 ❓❓, 400 ,postback,詢價最低⬊79折起,data,,#005eb8,9,CITIZEN星辰 血壓計
D52-CH657F-BK,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/ch_657fbk_img03.jpg?v=1650714406,,#EC3D44,CITIZEN 星辰,手腕式電子血壓計 CH657F-BK,,優惠價 ❓❓," 2,200 ",postback,詢價最低⬊79折起,data,,#005eb8,5,CITIZEN星辰 血壓計
D52-CHUA516,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/chua_516_img02.jpg?v=1640682639,,#EC3D44,CITIZEN 星辰,手臂式電子血壓計 CHUA516,,優惠價 ❓❓," 3,280 ",postback,詢價最低⬊79折起,data,,#005eb8,6,CITIZEN星辰 血壓計
D52-CHUC515,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/CHUC515.jpg?v=1639721029,,#EC3D44,CITIZEN 星辰,手臂式電子血壓計 CHUC515,,優惠價 ❓❓," 3,180 ",postback,詢價最低⬊79折起,data,,#005eb8,7,CITIZEN星辰 血壓計
D52-CHU703,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/CHU703.jpg?v=1639721029,,#EC3D44,CITIZEN 星辰,手臂式電子血壓計 CHU703,,優惠價 ❓❓," 2,850 ",postback,詢價最低⬊79折起,data,,#005eb8,8,CITIZEN星辰 血壓計
D52-CHU302,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/Inked2002931717picture_357251_LI.jpg?v=1650714596,,#EC3D44,CITIZEN 星辰,手臂式電子血壓計 CHU302,,優惠價 ❓❓," 1,900 ",postback,詢價最低⬊79折起,data,,#005eb8,4,CITIZEN星辰 血壓計
D52-CH551,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/CH-551.jpg?v=1639721024,,#EC3D44,CITIZEN 星辰,手臂式電子血壓計 CH551,,優惠價 ❓❓," 2,380 ",postback,詢價最低⬊79折起,data,,#005eb8,3,CITIZEN星辰 血壓計
D52-CHW301,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/CHW301.jpg?v=1639721023,,#EC3D44,CITIZEN 星辰,手腕式電子血壓計 CHW301,,優惠價 ❓❓," 1,380 ",postback,詢價最低⬊79折起,data,,#005eb8,1,CITIZEN星辰 血壓計
D52-CH650F,,https://cdn.shopify.com/s/files/1/0204/3327/2854/products/CH-650F.jpg?v=1639721015,,#EC3D44,CITIZEN 星辰,手腕式電子血壓計 CH650F,,優惠價 ❓❓," 1,750 ",postback,詢價最低⬊79折起,data,,#005eb8,2,CITIZEN星辰 血壓計
